"Variable name","Variable class","Are there NAs in this field?","Possible values or range of values","NA means what","Notes"
"subject_id","character","FALSE","290 to 584","(none)","(none)"
"age_entry","numeric","FALSE","6 to 66","(none)","ineligible or people who did not put in a correct date were set to NA"
"sex_birth","character","FALSE","0 to 1","(none)","0 = female
1 = male
8 = uncertain
9 = decline"
"alc_week","character","TRUE","0;1;2;3;NA","NA means decline or don’t know","(none)"
"drinks_p_day","character","TRUE","1;12;2;3;4;5;6;8;NA","NA means decline or don’t know","(none)"
"singing_lessons","character","FALSE","0 to 1","(none)","Have you ever taken voice or singing lessons?
0 = No
1 = Yes
9 = Decline
NAs occur for arms where the question was not activated (yet)"
"singing_ensemble","character","FALSE","0 to 1","(none)","Do you sing (or have you ever sung, for at least a year) in a choir/chorus, quartet, or other ensemble with other singers?
0 = No
1 = Yes
9 = Decline
NAs occur for arms where the question was not activated (yet)"
"latino","character","FALSE","0 to 9","(none)","0 = Not Hispanic or Latino
1 = Hispanic or Latino
9 = Decline"
"other_race","character","TRUE","Latina;NA","NAs because most did not indicate “other race”","Participants were set asked to name other race, but most of these are corrected to White"
"tag","character","FALSE","Case entry;Contact entry;Surveillance entry","(none)","which arm in redcap the record resides in"
"cri","numeric","FALSE","0 to 1","(none)","1 = participant indicated yes to history of any of asthma, allerg, copd, cf, bronchitis, emphys, lung_other
0 = No"
"drinks_p_week","numeric","FALSE","0 to 24","(none)","drinks_p_day times alc_week"
"race","character","FALSE","Asian Indian;Black or African American;Chinese;Don't Know;Other Asian;White","(none)","(none)"
"multiracial","character","FALSE","No","(none)","checked off more than one race box"
"bmi","character","FALSE","17.4 to 37.3","NAs will occur if the participant never visited the clinic (i.e. arm 1)","if out of range, check kg/lb cm/inch conversions"
"nose_run_ret","numeric","TRUE","0 to 2","NAs will occur if no IR follow-up visit","from Symptom Card Retrospective asked at IR follow-up ONLY"
"nose_stuf_ret","numeric","TRUE","0 to 2","NAs will occur if no IR follow-up visit","from Symptom Card Retrospective asked at IR follow-up ONLY"
"sneeze_ret","numeric","TRUE","0 to 2","NAs will occur if no IR follow-up visit","from Symptom Card Retrospective asked at IR follow-up ONLY"
