"Variable name","Variable class","Are there NAs in this field?","Possible values or range of values","NA means what","Notes"
"exp_name","character","FALSE","20211115_1 ST04015 nCoV RT-qPCR.eds;20211117_2 ST04017 nCoV RT-qPCR.eds;20211215_1 ST04019 nCoV RT-qPCR.eds;20211221_1 ST04021 nCoV RT-qPCR.eds;20211222_1 ST04023 nCoV RT-qPCR.eds;20220112_1 ST04025 nCoV RT-qPCR.eds;20220113_1 ST04027 nCoV RT-qPCR.eds;20220127_1 ST04029 nCoV RT-qPCR.eds;20220202_1 ST04031 nCoV RT-qPCR.eds;20220204_1 ST04033 nCoV RT-qPCR.eds;20220208_1 ST04035 nCoV RT-qPCR.eds;20220216_3 MS03041 nCoV RT-qPCR.eds;20220218_1 MS03043 nCoV RT-qPCR.eds;20220223_2 MS03047 nCoV RT-qPCR.eds;20220314_2 ST04039 nCoV RT-qPCR.eds;20220318_2 MS03071 nCoV RT-qPCR.eds;20220324_1 MS03073 nCoV RT-qPCR.eds;20220329_2 MS03075 nCoV RT-qPCR.eds","(none)",""
"sample_id","character","FALSE","numerous identifiers","(none)",""
"ct_ngene_qpcr","numeric","FALSE","-1 to 39.945824","(none)",""
"ct_sgene_qpcr","numeric","FALSE","-1 to 37.647583","(none)",""
"ct_orfgene_qpcr","numeric","FALSE","-1 to 39.30209","(none)",""
"rxn_quant","numeric","FALSE","0 to 168616255.780432","(none)",""
"subject_id","integer","FALSE","290 to 584","(none)","(none)"
"sample_type","character","FALSE","G-II Coarse Aerosol;G-II Coarse Aerosol mask;G-II Cone Swab;G-II Cone Swab mask;G-II Fine Aerosol;G-II Fine Aerosol mask;Midturbinate Swab;Phone Swab;Saliva","(none)",""
"sample_date","character","FALSE","2021-09-14;2021-09-16;2021-12-03;2021-12-06;2021-12-14;2021-12-15;2021-12-16;2021-12-17;2021-12-20;2021-12-21;2021-12-22;2022-01-05;2022-01-06;2022-01-11;2022-01-12;2022-01-13;2022-01-14;2022-01-18;2022-01-25;2022-01-27;2022-01-28;2022-01-31;2022-02-01;2022-02-02;2022-02-03;2022-02-07;2022-02-08;2022-02-24;2022-02-25;2022-03-01;2022-03-02;2022-03-03;2022-03-09;2022-03-10;2022-03-11","(none)",""
"sample_quant","numeric","FALSE","0 to 4215406394.5108","(none)",""
