"vars","Enrolled June, 2020 - April 2021","Enrolled September, 2021 - March, 2022","All participants"
"Number of participants","61","32","93"
"Number of exhaled breath samples","100","50","150"
"Variant, N(%)","","",""
"Other","57 (93)","0 (0)","57 (61)"
"Alpha","4 (7)","0 (0)","4 (4)"
"Delta","0 (0)","3 (9)","3 (3)"
"Omicron BA.1","0 (0)","8 (25)","8 (9)"
"Omicron BA.1.1","0 (0)","14 (44)","14 (15)"
"Omicron BA.2","0 (0)","7 (22)","7 (8)"
"Female, N (%)","23 (38)","13 (41)","36 (39)"
"Age, mean ± SD","23.6 ± 9","27.3 ± 15.3","24.8 ± 11.6"
"Age group, N(%)","","",""
"<18","1 (2)","3 (9)","4 (4)"
"18-45","57 (93)","24 (75)","81 (87)"
">45","3 (5)","5 (16)","8 (9)"
"Race/Ethnicity, N(%)","","",""
"White","48 (79)","19 (59)","67 (72)"
"Black/African American","7 (12)","5 (16)","12 (13)"
"Hispanic","8 (13)","5 (16)","13 (14)"
"BMI, mean ± SD","25.2 ± 4.5","24.7 ± 5.4","25 ± 4.8"
"Chronic respiratory illness, N (%)","13 (21)","6 (19)","19 (20)"
"Vaccination status, N(%)","","",""
"Boosted","0 (0)","20 (62)","20 (22)"
"Fully vaccinated, not boosted","0 (0)","12 (38)","12 (13)"
"Partially vaccinated","3 (5)","0 (0)","3 (3)"
"Unvaccinated","58 (95)","0 (0)","58 (62)"
"Vaccine type, N(%)","","",""
"BNT162b2","2 (3)","24 (75)","26 (28)"
"mRNA-1273","1 (2)","4 (12)","5 (5)"
"Ad26.COV2.S","0 (0)","3 (9)","3 (3)"
"NVX-CoV2373","0 (0)","1 (3)","1 (1)"
"Not vaccinated","58 (95)","0 (0)","58 (62)"
"Anti-spike RBD antibody (IgG), N (%)","6 (10)","32 (100)","38 (41)"
"Anti-nucleocapsid antibody (IgG), N (%)","0 (0)","5 (16)","5 (5)"
"Ever symptomatic, N (%)","58 (95)","32 (100)","90 (97)"
"Days post symptom onset, mean± SD (range)","5 ± 3 (0-13)","3 ± 2 (1-7)","4 ± 2 (0-13)"
"Coughs per 30 min, mean± SD (range)","1 ± 4 (0-24)","8 ± 15 (0-69)","4 ± 10 (0-69)"
"Median upper respiratory symptoms (IQR)","2 (1 - 3.8)","3.5 (2 - 6)","3 (1 - 4)"
"Median lower respiratory symptoms (IQR)","0 (0 - 1.8)","1 (0.2 - 2)","1 (0 - 2)"
"Median systemic symptoms (IQR)","1 (0 - 3)","2 (1 - 6)","2 (0 - 4)"
"Median gastrointestinal symptoms (IQR)","0 (0 - 1)","1 (0 - 2)","0 (0 - 1)"
"Temperature (C), mean ± SD","37.2 ± 0.3","37 ± 0.3","37.1 ± 0.3"
"Oxygen saturation (SpO2), mean ± SD","97.8 ± 1","97.9 ± 0.8","97.8 ± 1"
